주소,단지명_공시가격,세대수,사용승인일
서울특별시 종로구 사직동 9,광화문스페이스본(101동~105동),657,2008-07-11
서울특별시 종로구 익선동 55,현대뜨레비앙,291,2003-11-29
서울특별시 종로구 인의동 48-2,효성쥬얼리시티,298,2006-10-27
서울특별시 종로구 명륜2가 4,아남1,436,1995-12-22
서울특별시 종로구 창신동 232,두산,529,1999-04-30
서울특별시 종로구 창신동 702,창신쌍용1,585,1992-11-25
서울특별시 종로구 창신동 703,창신쌍용2,919,1993-10-12
서울특별시 종로구 숭인동 2-1,종로센트레빌,416,2008-11-21
서울특별시 종로구 숭인동 76,롯데캐슬천지인,220,2004-09-09
서울특별시 종로구 숭인동 207-32,영하우스,238,2015-12-15
서울특별시 종로구 숭인동 766,종로청계힐스테이트,288,2009-03-20
서울특별시 종로구 평동 233,경희궁자이(3단지),589,2017-02-24
서울특별시 종로구 홍파동 199,경희궁자이(2단지),1148,2017-02-24
서울특별시 종로구 행촌동 211,경희궁자이(1단지),496,2017-06-29
서울특별시 종로구 무악동 60,인왕산아이파크,810,2008-07-25
서울특별시 종로구 무악동 82,현대,964,2000-10-21
서울특별시 중구 회현동1가 147-23,회현제2시범아파트,339,1979-12-18
서울특별시 중구 회현동1가 206,SK리더스뷰남산,233,2010-01-11
서울특별시 중구 회현동1가 208,남산롯데캐슬아이리스,386,2011-11-18
서울특별시 중구 회현동2가 87,쌍용남산플래티넘,236,2010-08-05
서울특별시 중구 충무로4가 120-3,진양상가,282,1970-05-23
서울특별시 중구 충무로4가 306,남산센트럴자이,273,2009-12-21
서울특별시 중구 인현동2가 240,세운푸르지오헤리시티,614,2023-01-16
서울특별시 중구 묵정동 35,힐스테이트남산,282,2024-01-29
서울특별시 중구 입정동 277,힐스테이트세운센트럴1단지,414,2023-02-24
서울특별시 중구 입정동 280,힐스테이트세운센트럴2단지,608,2023-03-07
서울특별시 중구 신당동 840,현대,942,1993-09-17
서울특별시 중구 신당동 842,약수하이츠,1598,1999-07-29
서울특별시 중구 신당동 843,삼성,994,1999-12-22
서울특별시 중구 신당동 844,남산타운,3116,2002-05-25
서울특별시 중구 신당동 845,한진해모로,254,2001-06-18
서울특별시 중구 신당동 850,신당푸르지오,461,2005-12-28
서울특별시 중구 신당동 851,래미안하이베르,784,2011-10-28
서울특별시 중구 신당동 852,청구e편한세상,737,2011-12-13
서울특별시 중구 신당동 855,신당파인힐하나유보라,718,2019-06-07
서울특별시 중구 흥인동 13-1,청계천두산위브더제니스,295,2014-12-22
서울특별시 중구 흥인동 86,리마크빌동대문,262,2016-06-29
서울특별시 중구 황학동 2523,황학아크로타워,263,2010-03-31
서울특별시 중구 황학동 2545,롯데캐슬,1870,2008-12-22
서울특별시 중구 순화동 217,덕수궁롯데캐슬,296,2016-08-31
서울특별시 중구 중림동 200,삼성사이버빌리지,712,2001-07-11
서울특별시 중구 중림동 1154,더플레이스충정로,276,2012-05-24
서울특별시 중구 만리동2가 273,서울역센트럴자이,1341,2017-08-07
서울특별시 용산구 후암동 423-1,후암미주,226,1980-07-22
서울특별시 용산구 동자동 45,센트레빌아스테리움서울,278,2013-09-09
서울특별시 용산구 원효로1가 41,용산더프라임,559,2014-02-17
서울특별시 용산구 원효로1가 134,용산원효루미니,752,2022-04-28
서울특별시 용산구 산천동 193,리버힐삼성,1102,2001-01-10
서울특별시 용산구 산천동 204,한강타운,289,2001-02-22
서울특별시 용산구 원효로4가 118-16,산호,554,1977-04-04
서울특별시 용산구 원효로4가 178,강변삼성스위트,300,1999-12-24
서울특별시 용산구 효창동 274,효창파크푸르지오,307,2010-08-31
서울특별시 용산구 효창동 287,용산롯데캐슬센터포레,478,2019-04-29
서울특별시 용산구 효창동 288,용산데시앙포레,384,2022-03-28
서울특별시 용산구 도원동 23,삼성래미안,1458,2001-08-03
서울특별시 용산구 문배동 11-10,용산KCC웰츠타워,232,2015-03-27
서울특별시 용산구 문배동 24-6,CJ나인파크,280,2007-07-02
서울특별시 용산구 문배동 24-21,아크로타워,208,2007-01-22
서울특별시 용산구 신계동 48,용산e편한세상,867,2011-04-01
서울특별시 용산구 한강로1가 50-1,용산파크자이,310,2005-12-23
서울특별시 용산구 한강로2가 2-8,벽산메가트리움,248,2005-05-06
서울특별시 용산구 한강로2가 426,용산베르디움프렌즈,1086,2021-03-05
서울특별시 용산구 용산동5가 24,용산파크타워(24-0),597,2009-05-15
서울특별시 용산구 용산동5가 24-1,용산파크타워(24-1),291,2009-05-15
서울특별시 용산구 한강로3가 63-387,시티파크(2단지),208,2007-08-21
서울특별시 용산구 한강로3가 63-389,용산시티파크(1단지),421,2007-08-21
서울특별시 용산구 한강로3가 98,센트럴파크,1140,2020-08-20
서울특별시 용산구 이촌동 211-2,시범(중산1차),228,1970-06-30
서울특별시 용산구 이촌동 300-11,왕궁,250,1974-12-23
서울특별시 용산구 이촌동 300-23,한강맨숀,660,1971-03-22
서울특별시 용산구 이촌동 300-301,삼익,252,1979-12-17
서울특별시 용산구 이촌동 301-160,현대맨숀,653,1974-12-09
서울특별시 용산구 이촌동 395,대림,638,1994-11-29
서울특별시 용산구 이촌동 399-1,우성,243,1995-12-23
서울특별시 용산구 이촌동 400,현대한강,516,1997-03-07
서울특별시 용산구 이촌동 402,강촌,1001,1998-01-08
서울특별시 용산구 이촌동 404,한가람,2036,1998-09-18
서울특별시 용산구 이촌동 411,동아그린,499,1999-05-31
서울특별시 용산구 이촌동 412,이촌코오롱(A),787,1999-11-01
서울특별시 용산구 이촌동 415,한강(대우),834,2000-03-31
서울특별시 용산구 이촌동 418,동부센트레빌,309,2001-06-02
서울특별시 용산구 이촌동 422,북한강(성원),340,2001-08-07
서울특별시 용산구 이촌동 426,이촌동삼성리버스위트,244,2002-04-30
서울특별시 용산구 이촌동 430,LG한강자이,656,2003-04-28
서울특별시 용산구 이촌동 436,래미안첼리투스,460,2015-07-30
서울특별시 용산구 이태원동 22-2,청화1,578,1982-09-18
서울특별시 용산구 이태원동 729,남산대림,400,1994-12-31
서울특별시 용산구 한남동 72-1,한남동리첸시아,371,2004-04-09
서울특별시 용산구 한남동 807,한남힐스테이트,283,2003-10-02
서울특별시 용산구 한남동 810,한남더힐,600,2011-01-07
서울특별시 용산구 한남동 828,한남아이파크애비뉴,280,2017-03-08
서울특별시 용산구 한남동 829,나인원한남,341,2019-11-13
서울특별시 용산구 서빙고동 241-21,신동아,1326,1984-06-28
서울특별시 용산구 보광동 151,리버빌(삼성),242,2000-10-31
서울특별시 용산구 보광동 448,신동아1,226,1992-09-19
서울특별시 성동구 상왕십리동 811,텐즈힐(2단지),937,2014-06-26
서울특별시 성동구 하왕십리동 258,벽산,822,1996-06-07
서울특별시 성동구 하왕십리동 990,한신무학,480,1989-03-30
서울특별시 성동구 하왕십리동 992,무학현대,277,1996-03-15
서울특별시 성동구 하왕십리동 1002,왕십리KCC스위첸,272,2016-04-28
서울특별시 성동구 하왕십리동 1052,금호베스트빌,458,2001-10-05
서울특별시 성동구 하왕십리동 1058,극동미라주,414,2001-12-14
서울특별시 성동구 하왕십리동 1061,왕십리풍림아이원,758,2004-11-30
서울특별시 성동구 하왕십리동 1066,텐즈힐(1단지),1369,2015-04-24
서울특별시 성동구 하왕십리동 1070,센트라스,2097,2016-11-29
서울특별시 성동구 하왕십리동 1071,왕십리자이,713,2017-07-28
서울특별시 성동구 도선동 69,삼성쉐르빌,342,2006-09-13
서울특별시 성동구 마장동 784,세림,811,1986-12-27
서울특별시 성동구 마장동 817,왕십리삼성,430,1996-12-14
서울특별시 성동구 마장동 818,청계현대,1017,1998-04-14
서울특별시 성동구 마장동 820,왕십리금호어울림,367,2006-09-27
서울특별시 성동구 마장동 822,청계미소지움,286,2004-06-04
서울특별시 성동구 마장동 825,대성유니드,248,2004-11-30
서울특별시 성동구 마장동 831,마장에스에이치빌,400,2006-11-21
서울특별시 성동구 사근동 199,중앙하이츠,270,1989-09-12
서울특별시 성동구 행당동 147,서울숲삼부,498,1998-07-15
서울특별시 성동구 행당동 344,신동아,636,1995-05-22
서울특별시 성동구 행당동 345,두산,251,1997-07-04
서울특별시 성동구 행당동 346,행당한진타운,2123,2000-11-07
서울특별시 성동구 행당동 347,대림e-편한세상,2399,2000-12-30
서울특별시 성동구 행당동 349,서울숲한신더휴,1410,2003-12-23
서울특별시 성동구 행당동 364,행당브라운스톤,208,2005-09-01
서울특별시 성동구 행당동 375,행당두산위브,351,2009-12-03
서울특별시 성동구 행당동 376,서울숲행당푸르지오,457,2011-05-02
서울특별시 성동구 행당동 377,서울숲더샵,495,2014-09-16
서울특별시 성동구 행당동 380,서울숲리버뷰자이,858,2018-06-22
서울특별시 성동구 행당동 387,지웰홈스왕십리,299,2020-08-31
서울특별시 성동구 응봉동 15,대림강변타운,1150,2001-10-26
서울특별시 성동구 응봉동 97,대림(2차),410,1989-09-21
서울특별시 성동구 응봉동 98,금호현대,644,1990-09-20
서울특별시 성동구 응봉동 100,대림(1차),855,1986-10-23
서울특별시 성동구 응봉동 275,신동아,434,1996-04-09
서울특별시 성동구 응봉동 276,서울숲리버그린동아,375,2003-06-07
서울특별시 성동구 금호동1가 633,벽산,1707,2001-12-03
서울특별시 성동구 금호동1가 1500,금호삼성래미안,582,2001-10-31
서울특별시 성동구 금호동1가 1823,e편한세상신금호파크힐스,1193,2019-05-09
서울특별시 성동구 금호동2가 1,신금호파크자이,958,2016-04-20
서울특별시 성동구 금호동2가 1215,금호자이1차,401,2012-05-18
서울특별시 성동구 금호동2가 1217,래미안하이리버,847,2012-05-18
서울특별시 성동구 금호동3가 700,금호자이2차,403,2012-07-05
서울특별시 성동구 금호동3가 917,금호1차푸르지오,336,2005-05-31
서울특별시 성동구 금호동3가 1331,두산,1267,1994-09-16
서울특별시 성동구 금호동3가 1662,금호한신,323,2005-07-29
서울특별시 성동구 금호동4가 235,서울숲2차푸르지오,586,2012-08-16
서울특별시 성동구 금호동4가 340,서울숲푸르지오,888,2007-07-31
서울특별시 성동구 금호동4가 800,대우,1181,2001-05-03
서울특별시 성동구 금호동4가 1250,롯데,249,2003-01-09
서울특별시 성동구 금호동4가 1507,브라운스톤금호,217,2007-03-30
서울특별시 성동구 금호동4가 1553,힐스테이트서울숲리버,502,2018-02-19
서울특별시 성동구 옥수동 4,현대,566,1990-05-25
서울특별시 성동구 옥수동 60,풍림아이원,269,2004-10-29
서울특별시 성동구 옥수동 100,옥수하이츠,536,1998-03-30
서울특별시 성동구 옥수동 220-1,한남하이츠,535,1982-09-18
서울특별시 성동구 옥수동 250,옥수삼성,1114,1999-04-20
서울특별시 성동구 옥수동 428,옥수동극동,900,1986-12-24
서울특별시 성동구 옥수동 436,극동그린,412,1997-10-02
서울특별시 성동구 옥수동 528,옥수파크힐스101동~116동,1218,2016-11-09
서울특별시 성동구 옥수동 528-1,옥수파크힐스117동~125동,758,2016-11-09
서울특별시 성동구 옥수동 560,옥수어울림,297,2011-12-30
서울특별시 성동구 옥수동 561,래미안옥수리버젠,1511,2012-12-28
서울특별시 성동구 성수동1가 33-2,현대그린,219,1994-02-04
서울특별시 성동구 성수동1가 656-234,서울숲대림,372,2000-10-27
서울특별시 성동구 성수동1가 656-320,동아,390,1983-09-03
서울특별시 성동구 성수동1가 676-5,서울숲성수현대,217,1990-09-22
서울특별시 성동구 성수동1가 685-696,갤러리아포레,230,2011-07-29
서울특별시 성동구 성수동1가 685-700,아크로서울포레스트,280,2020-11-12
서울특별시 성동구 성수동1가 704,한진타운,378,1994-04-04
서울특별시 성동구 성수동1가 706,쌍용,777,1997-10-07
서울특별시 성동구 성수동1가 708,동아그린,331,1999-06-11
서울특별시 성동구 성수동1가 709,대우2,283,1999-07-31
서울특별시 성동구 성수동1가 710,강변건영아파트,580,2002-02-19
서울특별시 성동구 성수동1가 715,중앙하이츠빌,256,2003-10-27
서울특별시 성동구 성수동1가 718,트리마제,688,2017-05-29
서울특별시 성동구 성수동1가 721,서울숲아이파크리버포레,825,2024-12-27
서울특별시 성동구 성수동2가 286,성수우방2차아파트,221,1999-12-08
서울특별시 성동구 성수동2가 442,한신한강,202,2000-09-19
서울특별시 성동구 성수동2가 712,청구강변1,246,1994-04-04
서울특별시 성동구 성수동2가 834,현대I-PARK,656,2003-08-28
서울특별시 성동구 성수동2가 835,롯데캐슬파크,604,2003-09-30
서울특별시 성동구 성수동2가 843,힐스테이트,445,2009-06-01
서울특별시 성동구 송정동 90,건영,447,2000-05-10
서울특별시 성동구 송정동 104,서울숲아이파크,241,2009-03-12
서울특별시 광진구 중곡동 637-5,리마크빌군자,299,2022-08-30
서울특별시 광진구 구의동 199-18,삼성쉐르빌,251,2001-11-10
서울특별시 광진구 구의동 546-7,구의강변우성아파트,354,1992-12-26
서울특별시 광진구 구의동 587-54,구의현대7단지현대홈타운,273,1997-12-26
서울특별시 광진구 구의동 589-10,아크로리버,220,2004-01-13
서울특별시 광진구 구의동 610,구의현대6단지,421,1994-04-29
서울특별시 광진구 구의동 611,구의현대2단지,1606,1996-12-06
서울특별시 광진구 구의동 631-1,현대프라임,1592,1997-03-28
서울특별시 광진구 구의동 668,래미안파크스위트,854,2018-09-27
서울특별시 광진구 구의동 680,e편한세상광진그랜드파크,730,2021-12-30
서울특별시 광진구 광장동 145-8,워커힐,576,1978-11-13
서울특별시 광진구 광장동 218-1,극동1,448,1985-09-14
서울특별시 광진구 광장동 218-1,극동2,896,1989-03-24
서울특별시 광진구 광장동 250,신동아파밀리에,302,2007-10-15
서울특별시 광진구 광장동 484,현대3,1056,1990-10-20
서울특별시 광진구 광장동 554-7,현대5,581,1989-04-21
서울특별시 광진구 광장동 565,"현대8(801동,802동)",349,1995-03-27
서울특별시 광진구 광장동 566,청구,654,1996-07-05
서울특별시 광진구 광장동 567,광나루현대,380,1996-04-17
서울특별시 광진구 광장동 576,광장현대9단지,437,1999-04-30
서울특별시 광진구 광장동 577,현대파크빌,1170,2000-08-31
서울특별시 광진구 광장동 578,금호베스트빌,242,2001-06-18
서울특별시 광진구 광장동 582,광장힐스테이트,453,2012-03-28
서울특별시 광진구 자양동 87-1,한강우성,355,1993-12-21
서울특별시 광진구 자양동 227-7,더샵스타시티,1177,2007-01-22
서울특별시 광진구 자양동 516,우성3,464,1989-12-30
서울특별시 광진구 자양동 520-2,우성2,405,1989-07-22
서울특별시 광진구 자양동 579,우성1,656,1988-09-13
서울특별시 광진구 자양동 641,경남,232,1999-06-01
서울특별시 광진구 자양동 642,자양현대5,270,1998-06-24
서울특별시 광진구 자양동 644,로얄동아,322,1999-09-16
서울특별시 광진구 자양동 670,현대3,439,1996-12-09
서울특별시 광진구 자양동 673,현대강변,208,1991-12-10
서울특별시 광진구 자양동 680-63,어울채,300,2024-12-11
서울특별시 광진구 자양동 695,한양,444,1983-05-27
서울특별시 광진구 자양동 761,자양2현대,235,1995-04-22
서울특별시 광진구 자양동 762,한라아파트,329,1996-08-31
서울특별시 광진구 자양동 783-1,자양우성7,625,1998-07-06
서울특별시 광진구 자양동 784-1,대동,314,1999-03-10
서울특별시 광진구 자양동 787,자양삼성,375,1999-04-14
서울특별시 광진구 자양동 788,자양7차현대홈타운,252,2001-05-31
서울특별시 광진구 자양동 789,자양8차현대홈타운,257,2002-05-08
서울특별시 광진구 자양동 792,자양10차현대홈타운,245,2002-10-30
서울특별시 광진구 자양동 793,우방리버파크,214,2003-10-14
서울특별시 광진구 자양동 829,한강현대,204,1993-11-20
서울특별시 광진구 자양동 854,광진트라팰리스(854),204,2006-07-21
서울특별시 광진구 자양동 855,이튼타워리버3차,260,2007-04-17
서울특별시 광진구 자양동 856,이튼타워리버5차,279,2009-09-15
서울특별시 광진구 자양동 859,래미안프리미어팰리스,264,2017-10-26
서울특별시 광진구 자양동 861,자양호반써밋,305,2021-08-30
서울특별시 광진구 화양동 113-1,광진코지웰,296,2014-11-03
서울특별시 광진구 화양동 234,화양현대,253,1999-05-20
서울특별시 광진구 군자동 99,일성파크,357,1996-03-09
서울특별시 동대문구 용두동 39-1,청량리역한양수자인그라시엘,1152,2023-06-02
서울특별시 동대문구 용두동 104-3,동대문푸르지오시티(도시형생활주택),299,2016-09-09
서울특별시 동대문구 용두동 779,신동아,772,1994-10-14
서울특별시 동대문구 용두동 790,롯데캐슬피렌체,435,2009-02-05
서울특별시 동대문구 용두동 791,용두두산위브,338,2009-06-18
서울특별시 동대문구 용두동 792,래미안허브리츠,844,2011-04-28
서울특별시 동대문구 용두동 794,용두롯데캐슬리치,311,2015-03-13
서울특별시 동대문구 용두동 795,이편한세상청계센트럴포레,823,2021-11-25
서울특별시 동대문구 용두동 796,래미안엘리니티,1048,2022-08-30
서울특별시 동대문구 용두동 797,청량리역해링턴플레이스,220,2023-01-30
서울특별시 동대문구 제기동 136-3,리스트안암,299,2024-08-19
서울특별시 동대문구 제기동 153,안암골벽산,640,2003-06-13
서울특별시 동대문구 제기동 252,이수브라운스톤,299,2005-03-14
서울특별시 동대문구 제기동 892-66,현대,261,1999-11-13
서울특별시 동대문구 제기동 892-68,경동미주,228,1977-06-30
서울특별시 동대문구 제기동 1212,한신아파트,1070,2004-05-11
서울특별시 동대문구 전농동 6,전농우성,1234,1992-03-11
서울특별시 동대문구 전농동 10,전농SK,1830,2000-07-06
서울특별시 동대문구 전농동 155,전농동삼성래미안,463,2000-05-13
서울특별시 동대문구 전농동 645-2,동아,360,1997-12-22
서울특별시 동대문구 전농동 687,전농동신성미소지움,385,2005-10-05
서울특별시 동대문구 전농동 688,래미안아름숲,719,2012-07-26
서울특별시 동대문구 전농동 690,래미안크레시티,2397,2014-10-23
서울특별시 동대문구 전농동 695,동대문롯데캐슬노블레스,584,2018-06-29
서울특별시 동대문구 답십리동 10,동아,741,2001-11-23
서울특별시 동대문구 답십리동 41,동서울한양,499,1989-07-25
서울특별시 동대문구 답십리동 42,동답한신,600,1992-01-03
서울특별시 동대문구 답십리동 80,답십리청솔우성,1110,2000-03-18
서울특별시 동대문구 답십리동 111,답십리대우,319,2002-04-29
서울특별시 동대문구 답십리동 464-1,신답극동,225,1987-08-04
서울특별시 동대문구 답십리동 488-18,센시티16,243,2013-08-09
서울특별시 동대문구 답십리동 497-23,청계푸르지오시티,298,2015-02-17
서울특별시 동대문구 답십리동 530-15,현대썬앤빌청계,269,2016-12-22
서울특별시 동대문구 답십리동 645-8,신답경남,225,1991-06-19
서울특별시 동대문구 답십리동 808,대림,228,2003-01-08
서울특별시 동대문구 답십리동 989-1,우성그린,496,1997-05-23
서울특별시 동대문구 답십리동 990,두산,739,2000-08-02
서울특별시 동대문구 답십리동 997,세양청마루,231,2005-04-27
서울특별시 동대문구 답십리동 998,두산위브,516,2007-04-26
서울특별시 동대문구 답십리동 1000,래미안엘파인아파트,472,2011-06-23
서울특별시 동대문구 답십리동 1002,청계한신휴플러스,725,2010-08-12
서울특별시 동대문구 답십리동 1003,래미안위브,2652,2014-10-13
서울특별시 동대문구 답십리동 1009,힐스테이트청계,764,2018-11-30
서울특별시 동대문구 답십리동 1013,래미안미드카운티,1009,2019-04-05
서울특별시 동대문구 답십리동 1014,답십리파크자이,802,2019-01-22
서울특별시 동대문구 장안동 95-1,장안현대,456,1984-06-30
서울특별시 동대문구 장안동 329-2,장안힐스테이트,859,2007-08-04
서울특별시 동대문구 장안동 329-3,래미안장안2차,1786,2007-06-28
서울특별시 동대문구 장안동 336,장안현대홈타운,2182,2003-10-28
서울특별시 동대문구 장안동 354-2,래미안장안,558,2003-04-30
서울특별시 동대문구 장안동 371-1,장안삼성쉐르빌,254,2002-08-05
서울특별시 동대문구 장안동 555-1,한신아파트,300,1996-06-11
서울특별시 동대문구 장안동 587,동대문더퍼스트데시앙,469,2019-10-22
서울특별시 동대문구 청량리동 60,한신,960,1997-12-16
서울특별시 동대문구 청량리동 212,홍릉동부,371,2001-09-24
서울특별시 동대문구 청량리동 234-2,현대,241,1987-06-16
서울특별시 동대문구 청량리동 235-1,미주,1089,1978-09-27
서울특별시 동대문구 회기동 65,신현대,736,1989-05-26
서울특별시 동대문구 회기동 346-18,베라체캠퍼스,264,2013-06-24
서울특별시 동대문구 휘경동 52,휘경베스트빌현대,372,2000-05-15
서울특별시 동대문구 휘경동 57,주공2,800,2001-11-15
서울특별시 동대문구 휘경동 57,주공1,1224,2001-11-15
서울특별시 동대문구 휘경동 78,롯데,265,2000-08-25
서울특별시 동대문구 휘경동 106,휘경미소지움,345,1999-08-31
서울특별시 동대문구 휘경동 109,롯데낙천대,239,2003-07-15
서울특별시 동대문구 휘경동 115,동양1차,282,2000-05-27
서울특별시 동대문구 휘경동 117,동양2차,208,2002-07-03
서울특별시 동대문구 휘경동 365,휘경동일하이빌,216,2005-10-05
서울특별시 동대문구 휘경동 366,동일스위트리버,445,2007-05-18
서울특별시 동대문구 휘경동 367,휘경센트레빌,246,2011-09-29
서울특별시 동대문구 휘경동 368,브라운스톤휘경,451,2013-10-25
서울특별시 동대문구 휘경동 372,휘경SK뷰,900,2019-06-18
서울특별시 동대문구 휘경동 375,휘경해모로프레스티지,299,2021-03-15
서울특별시 동대문구 휘경동 377,이문휘경지웰에스테이트,313,2021-08-27
서울특별시 동대문구 휘경동 380,회기역하트리움역세권청년주택,582,2023-01-20
서울특별시 동대문구 이문동 45,대우,490,2001-12-20
서울특별시 동대문구 이문동 54,현대,601,2000-05-03
서울특별시 동대문구 이문동 64,쌍용,1318,2000-11-29
서울특별시 동대문구 이문동 73,삼익,353,1997-12-30
서울특별시 동대문구 이문동 84,중앙하이츠빌,371,2002-05-23
서울특별시 동대문구 이문동 225,대림e-편한세상,1378,2003-07-09
서울특별시 동대문구 이문동 311,래미안이문2차,648,2004-04-13
서울특별시 동대문구 이문동 425,삼성,379,2001-11-07
서울특별시 중랑구 면목동 193-1,면목한신,1362,1987-12-30
서울특별시 중랑구 면목동 494,용마금호타운,440,1992-12-23
서울특별시 중랑구 면목동 581,대원칸타빌,256,2003-04-01
서울특별시 중랑구 면목동 715,늘푸른동아,573,2002-11-30
서울특별시 중랑구 면목동 1077-1,용마한신,565,1990-06-28
서울특별시 중랑구 면목동 1382,면목임대,905,1991-10-14
서울특별시 중랑구 면목동 1502,현대,626,1994-09-29
서울특별시 중랑구 면목동 1516,면목삼익아파트,216,1997-12-20
서울특별시 중랑구 면목동 1519,신성,266,1998-10-31
서울특별시 중랑구 면목동 1522,두산4,297,2000-09-27
서울특별시 중랑구 면목동 1522-1,두산5,258,2000-09-27
서울특별시 중랑구 면목동 1529,경남아너스빌,386,2006-11-29
서울특별시 중랑구 면목동 1537,용마산하늘채,265,2015-10-08
서울특별시 중랑구 면목동 1543,한양수자인사가정파크,497,2019-11-27
서울특별시 중랑구 면목동 1544,라온프라이빗,453,2020-06-30
서울특별시 중랑구 면목동 1545,사가정센트럴아이파크,1505,2020-07-30
서울특별시 중랑구 면목동 1548,쌍용더플래티넘용마산,245,2020-12-14
서울특별시 중랑구 면목동 1549,용마산모아엘가파크포레,243,2023-01-27
서울특별시 중랑구 상봉동 1,건영1,408,1997-08-13
서울특별시 중랑구 상봉동 63,건영2차아파트,716,1996-11-04
서울특별시 중랑구 상봉동 81-5,한일써너스빌,504,2003-12-01
서울특별시 중랑구 상봉동 90-3,봄작시티24,238,2023-07-05
서울특별시 중랑구 상봉동 118-8,상봉동양엔파트,299,2024-06-17
서울특별시 중랑구 상봉동 481,신내아파트(12단지),1000,1995-11-27
서울특별시 중랑구 상봉동 484,"엘지,쌍용아파트",858,1996-03-27
서울특별시 중랑구 상봉동 495,동부아파트,368,1999-04-29
서울특별시 중랑구 상봉동 496,우정아파트,375,2002-05-14
서울특별시 중랑구 상봉동 497,태영데시앙1,494,2003-08-05
서울특별시 중랑구 상봉동 499,건영캐스빌,467,2006-02-10
서울특별시 중랑구 상봉동 500,프레미어스엠코,497,2013-11-18
서울특별시 중랑구 상봉동 501,상봉듀오트리스,264,2016-01-20
서울특별시 중랑구 중화동 450,한신아파트,1544,1997-10-11
서울특별시 중랑구 묵동 13,신내,1070,1996-06-14
서울특별시 중랑구 묵동 20,신내대림아파트,622,1995-12-04
서울특별시 중랑구 묵동 20,신내두산아파트,622,1995-12-04
서울특별시 중랑구 묵동 167,신도,221,1998-10-15
서울특별시 중랑구 묵동 169-12,로프트원태릉입구역,247,2020-01-08
서울특별시 중랑구 묵동 170-1,묵동자이(2단지),274,2010-12-14
서울특별시 중랑구 묵동 176-39,칼튼테라스,235,2021-11-01
서울특별시 중랑구 묵동 378,한국,225,1999-06-03
서울특별시 중랑구 묵동 381,신안1,285,1999-10-28
서울특별시 중랑구 묵동 384,신안3,248,2000-09-16
서울특별시 중랑구 묵동 385,현대아이파크,601,2002-06-21
서울특별시 중랑구 묵동 387,브라운스톤태릉,587,2004-03-11
서울특별시 중랑구 묵동 396,이편한세상화랑대,719,2017-12-06
서울특별시 중랑구 망우동 226,경남,250,1989-05-20
서울특별시 중랑구 망우동 580,금호어울림(580),558,2006-04-28
